Genomic bins	SRR9330785	SRR9330784	SRR8849279	SRR8849278	SRR8849277	SRR8849276	SRR8849275	SRR8849274	SRR8849273	SRR8849272	SRR8849271	SRR8849270	SRR9330790	SRR9330791	SRR17301512	SRR17301513	SRR17301514	SRR17301515	SRR17301516	SRR17301517	SRR17301518	SRR17301519	SRR9330783	SRR9330778	SRR9330779	SRR9330776	SRR9330777	SRR9330774	SRR9330775	SRR8849282	SRR8849283	SRR8849280	SRR8849281	SRR8849286	SRR8849287	SRR8849284	SRR8849285	SRR8849288	SRR8849289	SRR9330782	SRR17301525	SRR17301524	SRR8849208	SRR8849209	SRR17301521	SRR17301520	SRR17301523	SRR17301522	SRR8849202	SRR8849203	SRR8849200	SRR8849201	SRR8849206	SRR8849207	SRR8849204	SRR8849205	SRR17301529	SRR9330792	SRR9330793	SRR8849245	SRR17301528	SRR8849290	SRR17301538	SRR17301539	SRR9330786	SRR17301532	SRR17301533	SRR17301530	SRR17301531	SRR17301536	SRR17301537	SRR17301534	SRR17301535	SRR8849218	SRR8849198	SRR8849199	SRR8849211	SRR8849210	SRR8849213	SRR8849212	SRR8849215	SRR8849214	SRR8849217	SRR8849216	SRR9330780	SRR17301549	SRR17301548	SRR17301547	SRR17301546	SRR17301545	SRR17301544	SRR17301543	SRR17301542	SRR17301541	SRR17301540	SRR8849228	SRR8849229	SRR8849224	SRR8849225	SRR8849226	SRR8849227	SRR8849220	SRR8849221	SRR8849222	SRR8849223	SRR17301558	SRR17301559	SRR17301554	SRR17301555	SRR17301556	SRR17301557	SRR17301550	SRR17301551	SRR17301552	SRR17301553	SRR8849233	SRR8849232	SRR8849231	SRR8849230	SRR8849237	SRR8849236	SRR8849235	SRR8849234	SRR9330794	SRR8849239	SRR8849238	SRR9330795	SRR9330796	SRR9330797	SRR9330798	SRR17301527	SRR9330799	SRR17301561	SRR17301560	SRR8849246	SRR8849247	SRR8849244	SRR17301526	SRR8849242	SRR8849243	SRR8849240	SRR8849241	SRR9330789	SRR8849248	SRR8849249	SRR9330788	SRR8849255	SRR8849254	SRR8849257	SRR8849256	SRR8849251	SRR8849250	SRR8849253	SRR8849252	SRR8849259	SRR8849258	SRR9330787	SRR8849268	SRR8849269	SRR8849260	SRR8849261	SRR8849262	SRR8849263	SRR8849264	SRR8849265	SRR8849266	SRR8849267	SRR9330800	SRR9330801
SRR8849273_bin.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129644	13.417513	0.0	0.0	0.0	0.0	0.0	0.0	0.259519	0.168894	0.077539	0.050498	0.106676	0.148686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174548	0.596285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046274	0.0	6.517596	0.399428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.223713	0.0	0.0	1.654083	0.123186	0.0	0.228426	0.0	0.0	0.045567	0.0	0.155718	0.059638	0.0	0.0	0.0	0.0	0.0	0.031614	0.0	0.058724	0.869537	0.0	0.212032	0.0	0.0	0.890046	0.0	0.0	0.0	0.0	0.714713	0.039599	0.082008	0.0	1.683194	0.0	0.0	0.0	0.0	0.0	0.082232	0.0	0.0	0.06968	0.274687	0.0	0.048617	0.070144	0.0	1.321117	0.145894	0.102513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.229539	0.0	0.0	0.0	0.190389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040548	0.045007	0.194387	0.257156	0.0	0.049078	0.0	0.0	0.0	0.0	0.0	0.04615	0.0	0.561621	0.0	0.67651	0.848617	0.0	2.295713	0.0	0.0	0.307409	0.0	0.0	0.0	0.101984	0.0	0.0	0.0	0.186895	0.0	0.0	0.0	0.0	0.0	0.0
SRR9330783_bin.14	0.030207	0.056713	0.00764	0.0	0.125456	0.773153	0.0	2.233075	0.0	10.533628	0.084591	0.0	38.822176	66.082229	0.013373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.264253	0.030008	6.810642	0.9958	0.075127	0.014548	1.507536	0.127229	0.003948	0.60702	0.0	0.02104	0.0	0.787089	0.837896	0.008285	0.0	1.224192	0.014156	0.165085	0.017284	9.160552	0.066422	0.255239	0.0	0.452571	7.271978	0.010669	0.201908	0.0	0.0	0.0	0.0	0.0	0.012327	0.024808	0.063008	0.01857	0.663554	0.008347	0.0	0.0	0.022229	0.0	0.075975	0.0	0.0	0.0	0.0	0.004326	0.0	2.112349	0.0	0.0	0.0	0.078487	100.868477	0.027548	0.0	0.0	0.155655	0.023582	0.021537	0.0	0.147893	4.002081	0.0	0.0	0.00492	0.0	0.0	0.00584	0.0	0.750186	0.829683	0.0	0.004394	1.890471	0.010479	1.818587	0.0	0.185936	0.012301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017853	0.845905	0.0	0.0	0.024225	0.0	0.589386	0.031754	0.0	0.046469	0.398149	2.1337	0.041468	0.024445	18.751137	0.068054	0.0	0.055175	0.205762	0.0	0.019654	1.051926	0.004203	0.020031	0.449404	6.749107	0.06445	0.125217	0.028306	0.109598	4.344421	0.235166	0.203667	0.0	4.178728	0.012194	0.007991	2.443682	0.596613	1.22959	0.869913	0.027987	4.935556	0.081884	0.301539	0.0	0.560906	0.903441	0.021305	0.009246	0.0	0.0	2.904782	0.032574	0.82026
SRR8849233_bin.20	0.0	0.0	90.986557	0.059839	5.850565	0.014883	128.667608	0.0	0.006596	0.79622	0.769682	0.022893	0.0	0.004356	0.287809	0.0	0.00609	0.008588	0.00362	0.0	0.0	0.0	0.0	0.0	0.004441	0.0	0.0	0.0	0.0	0.663055	0.00597	0.179712	0.00567	0.72152	0.124428	0.025279	0.509686	0.106412	0.085319	0.013103	9.544401	0.0	17.617732	0.049075	0.052111	0.002081	0.003511	0.0	0.00809	0.112564	237.787455	0.041311	0.023372	0.037373	0.003774	0.017648	0.0	0.0	0.0	0.102178	0.624812	1.560038	0.012182	0.002299	0.0	0.002625	0.019266	0.014901	0.019512	0.011007	0.003574	0.831041	0.00902	1.347954	0.0	0.0	100.76632	0.078098	0.0	0.025187	946.43707	0.003252	683.800516	0.054835	0.0	0.007623	0.006389	0.467475	0.0	0.008195	0.002206	0.0	0.0	0.051662	0.008025	0.303237	0.177349	0.033268	0.026445	0.309847	0.253744	0.951702	0.295105	0.087636	0.003123	0.0	0.006063	0.004568	0.0	0.013391	5.146995	0.009893	0.0	42.91767	0.07167	121.557271	0.015517	0.025829	0.0	0.028331	0.192288	0.84979	0.025959	0.008705	0.038167	1.394807	0.003233	0.0	0.0	0.003129	0.0	0.0	0.194542	0.0	0.00543	0.152786	62.792063	5.068188	0.131738	0.939606	0.435599	0.534073	0.0	226.011604	0.67779	0.0	0.06625	0.003419	0.175211	0.208039	0.473425	0.369149	0.350554	2.003331	32.416637	0.26414	0.0	43.508674	1.936544	2.52156	0.533284	0.12921	0.19457	0.038634	0.467792	1.897423	0.159983	0.0	0.0
SRR8849269_bin.40	0.0	0.0	0.460488	0.013681	0.018398	0.216251	0.027118	0.0	0.031605	7.184725	0.129173	0.0	0.0	0.059439	211.113334	0.0	0.053396	0.0	0.0	0.0	0.0	0.057152	0.0	0.0	4.922398	0.0	0.0	0.0	0.718422	0.76832	8.07956	0.022923	0.0	0.046082	0.439415	0.0	6.023426	0.0	0.0	0.029103	0.081781	0.0	0.051675	0.0	0.019334	0.02847	0.0	0.0	0.0	1.517791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011321	0.0	0.113647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072996	0.0	0.0466	0.0	0.0	0.022778	0.06208	0.093929	0.022288	0.032439	0.0	2.19847	0.0	0.0	0.069945	0.03667	0.140121	0.0	0.0	0.071258	0.0	0.0	0.024982	0.0	6.276696	0.0	0.0	0.016038	0.158155	0.151496	0.262121	0.0	0.03744	0.0	0.0	0.010214	0.030411	0.0	0.05751	0.108576	0.0	0.0	5.243166	0.184451	0.039617	0.049572	0.015603	0.0	0.04252	0.025239	0.847428	0.023743	0.0	0.0	14.92106	0.0	0.0	0.0	0.0	0.0	0.0	41.210065	0.078617	0.046935	17.62664	1.439621	0.073564	0.043682	1.231721	0.113112	0.0	0.0	0.0	0.04946	0.0	0.029328	0.0	0.0	0.061974	0.091159	0.0	4.664622	0.043072	14.309282	0.118976	0.0	15.548281	84.097191	0.06221	0.063637	0.0	0.093004	0.0	0.0	0.06386	0.039047	0.0	0.0
SRR8849245_bin.14	0.032999	0.0	0.073773	0.011705	0.021002	0.082714	0.028324	0.109169	0.045825	0.065871	0.092079	0.0	0.0146	0.015327	0.0	0.0	0.014606	0.0	0.0	0.0	0.0	0.019667	0.392877	0.063793	0.037599	0.0	0.029423	0.0	0.058995	0.64483	0.021838	0.069719	0.011967	0.054131	0.165239	0.091377	0.058381	0.050498	0.026608	0.0	0.057713	0.018409	0.066515	0.02778	0.061761	0.110822	0.0	0.086597	0.0	0.036986	0.057213	0.0	0.0	0.041512	0.0	0.057568	0.0	0.0	0.0	30.615355	0.126577	0.056417	8.141243	0.0	0.077329	0.0	0.0	0.046802	0.0	0.0	0.015305	0.028794	0.025238	0.170229	0.076757	0.075056	0.028094	0.059755	0.0	0.0	0.0	0.139917	0.078219	0.021419	0.038659	0.0	0.0	0.032202	0.0	0.0	0.019829	0.075267	0.0	0.036453	0.0	0.03331	0.021773	0.0	0.0	4.30078	0.043576	0.165605	0.02194	0.009335	0.008176	0.0	0.47747	0.0	0.140488	0.0	0.030623	0.0	0.060941	0.010849	0.038632	0.020683	0.009334	18.737119	0.045278	0.014788	0.0	4.361403	0.0	0.02453	0.026855	1.689982	0.114289	0.0	0.0	0.0	0.057579	0.0	0.019618	2.396341	0.037154	0.030053	0.074633	0.084702	0.109734	0.046658	0.184416	0.0	0.221842	0.053834	0.046489	0.0	0.016147	0.011831	0.209358	0.105804	0.102003	0.0	0.068026	0.091315	0.016476	0.0	0.0	0.026164	0.047204	0.09932	2.233088	0.0	0.011101	0.083251	0.0	0.010966	0.136555	0.026721	0.0
SRR9330779_bin.28	0.0	0.016781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009708	0.012977	0.006562	0.0	0.002653	0.0	0.0	0.0	0.0	0.0	0.0	0.078081	134.17718	2.31198	0.024258	0.016741	0.023225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005757	0.0	0.0	0.0	0.0	0.009645	0.0	0.0	0.0	0.0	0.0	0.0	0.023086	0.0	0.026878	0.0	0.0	0.0	0.0	0.0	0.003837	0.0	0.0	0.0	0.0	0.008496	0.0	0.0	0.0	0.0	0.005308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15707	0.0	0.016139	0.0	0.0	0.020702	0.024597	0.010137	0.0	0.0	0.01946	0.526662	0.0	0.0	0.0	0.0	0.0	0.008732	0.003924	0.0	0.0	0.0	0.0	0.162864	0.0	0.008668	0.0	0.020222	0.0	0.0	0.007416	0.0	0.00868	0.0	0.0	0.0	0.012463	0.013613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016503	0.0
SRR9330790_bin.5	12.507306	5.431761	0.792282	0.13672	1.545274	10.637623	10.780963	3.101911	2.611493	6.922949	78.061493	0.027494	79.272578	4.998816	16.796345	0.025578	0.061896	0.0	0.0	0.0	0.0	32.97378	0.064753	0.179144	3.50558	116.405966	3.44023	0.0	28.208609	0.133262	36.171722	0.346745	0.125845	17.286832	9.701034	6.424307	50.6842	178.878287	0.953897	27.912872	13.708399	0.65455	4.844476	5.26705	0.779836	0.0	0.032362	1.34557	7.38177	7.905609	1.9831	48.567423	1.212409	0.287961	0.0	1.755516	3.865296	0.0	0.197244	15.550797	8.278684	0.293363	0.0	0.0	0.0	0.0	1.888041	0.817329	3.234595	0.068337	0.289335	3.329343	0.0	106.80207	18.047616	15.051833	2.33183	0.321997	1.334913	2.934496	0.692247	76.089695	12.678058	13.617998	4.751396	0.033852	0.381165	42.403662	0.0	0.0	14.08341	53.105559	0.0	11.844977	8.956366	1.208966	18.868975	4.379182	0.057968	27.113921	12.658927	8.762449	47.502832	4.13983	2.215571	0.0	0.547318	0.142142	0.0	2.323043	4.110978	0.0	1.412313	15.624813	28.215325	107.31713	1.694829	1.517321	129.08139	0.040736	22.622231	1.276863	0.03694	133.949826	0.908247	65.061158	11.084902	0.109657	0.043098	0.0	0.134754	0.057602	27.345986	12.849047	0.884426	3.249208	47.010074	15.782066	0.314557	10.229093	4.39745	53.091586	0.0	1.008421	6.843387	8.459366	0.69909	71.673008	2.209952	2.617305	2.566997	2.697029	33.119838	73.114757	7.894236	0.672833	44.734853	1.263508	72.516437	4.976277	0.746949	3.60453	0.310365	0.068376	0.070795	26.954589	0.0	0.107406	3.918419
SRR8849276_bin.23	0.437076	0.078937	37.015952	0.2473	1.46987	56.385162	0.547816	27.072878	1.196687	14.133872	1.323771	0.0	42.621387	11.153583	0.401175	0.134985	0.171971	0.006771	0.039831	0.024369	0.0	0.046706	0.02715	0.104641	0.12744	0.663209	4.279267	0.0	0.157014	0.090643	0.098603	0.080409	0.016958	12.545318	2.839442	0.02118	6.441781	2.878676	0.038819	0.154974	0.310253	1.400741	0.310911	8.823305	37.720068	0.147274	0.944421	5.745037	0.051735	0.055757	0.078514	0.036059	0.057133	0.073463	0.0	0.659309	0.017451	0.0	0.019217	0.173505	26.763078	0.196704	0.018458	0.0	0.0	0.0	0.142521	0.133513	0.05599	0.0	0.017044	109.242955	0.040755	1.631728	0.0	0.173085	0.618311	0.093967	0.15239	1.067996	130.59740799999997	35.462158	4.800077	0.042718	0.089019	59.200744	0.494038	2.471875	0.0	0.0	0.780872	0.027857	0.0	12.584604	0.055853	0.13814	0.039401	0.063799	0.049895	5.174972	0.218558	3.602338	0.879395	0.03617	0.053017	0.0	45.4223565	0.09857	0.017279	0.0	6.346198	0.0	10.021446	0.215552	0.875047	9.650574	21.058913	0.056518	0.146415	0.067493	0.089264	30.296556	0.063809	0.086086	0.0	0.423521	2.40041	0.061792	0.0	0.0	0.191532	0.062291	27.418789	0.190578	24.068492	8.213639	0.488387	0.256315	0.045446	0.803986	0.662447	3.297856	0.0	0.091412	7.149424	0.036706	2.238587	0.04161	9.198309	0.258434	5.799182	4.393391	12.770844	1.604862	0.111855	2.914696	0.081676	1.184812	74.230953	0.07033	8.133207	0.066695	0.231697	0.030456499999999997	0.164882	1.714136	0.200004	0.084492	1.315614
SRR9330775_bin.16	25.347494	17.543257	4.337834	0.044398	0.589708	8.931918	1.711242	14.159255	1.230668	8.817998	7.578212	0.095794	29.767793	19.643132	4.428431	0.0	1.920957	0.0	0.0	0.0	0.0	14.106438	21.425278	41.885362	28.157364	12.423329	24.868702	0.131991	188.142131	0.025874	0.470659	0.266602	1.861577	0.445897	5.726896	12.386061	4.185218	0.0	3.011803	48.735088	1.759021	2.112972	0.02151	4.356601	6.425883	2.552005	0.0	1.626111	0.020876	6.364007	3.323259	0.0	5.721268	31.360264	7.320939	0.798228	5.779161	0.081177	8.52707	0.131336	14.188134	17.355241	0.0	0.0	0.059095	0.0	25.889931	0.005651	17.009241	0.0	0.421977	22.142687	3.182901	4.501136	5.268601	42.021982	2.854975	0.048596	0.0	0.135572	3.027081	6.215104	5.456909	0.013209	0.073042	2.448827	1.260798	0.0	0.599147	0.0	0.529633	0.99067	0.0	0.0	0.666937	7.821709	0.0	0.010051	0.04314	3.518507	0.032025	11.122765	2.477023	0.249157	16.563335	0.0	0.0	0.0	0.0	0.011123	5.673145	0.0	0.879066	1.391602	0.259331	17.546947	0.867287	0.0	6.29747	0.0	0.0119	0.048699	9.170151	15.910916	1.871983	11.551597	30.187005	0.125679	0.06554	0.1367	8.239416	81.31947	2.201812	2.319875	6.244278	31.654624	9.805596	3.521671	0.079326	4.060991	6.638144	3.284166	0.108707	0.92144	0.698692	28.50634	0.282554	0.0	14.837946	16.798721	2.31745	7.242603	8.732417	1.019465	0.150209	0.049029	10.283703	0.349274	4.439484500000001	4.175896	1.092962	2.2775245	0.018693	0.019858	0.009712	4.861728	8.073683	40.168412	19.280454
SRR8849288_bin.26	1.200791	1.018315	15.848569	0.084671	3.852642	2.340692	0.214291	0.0	15.128403	0.165511	0.087281	0.010774	0.019643	0.018111	0.114595	0.007465	0.011985	0.010869	0.0	0.018213	0.0	21.420311	0.095541	0.015529	0.861843	0.041443	2.522026	0.0	5.922831	0.412473	18.548625	0.045332	0.009972	0.071832	0.373729	0.027617	2.055805	43.633791	0.008381	0.038251	0.046251	0.678645	1.141074	0.016572	0.746916	10.182788	0.126626	0.014822	0.053676	25.073029	0.041276	0.152035	0.207524	0.0	0.0	0.08732	0.041017	0.0	0.0	0.081494	2.693724	0.032798	0.007825	0.0	0.0	0.01844	0.199807	0.067811	0.028416	0.020873	0.113796	1.912104	0.020243	0.133864	0.0	5.9843	1.354894	0.180341	60.77319	0.083863	14.795058	0.102292	0.042035	0.049302	0.116636	0.562658	0.128372	0.180877	0.0	0.0	0.233137	0.063489	0.0	0.831353	0.021711	11.701931	0.607329	0.083472	0.018721	0.059631	19.162261	0.241875	1.847647	2.989343	50.338666	0.0	0.035179	0.025832	0.0	6.043838	0.076115	0.032614	0.0	0.053614	5.334683	2.496679	78.23474	1.699333	0.054645	0.020382	0.047963	0.786646	0.02098	0.008167	0.058203	25.127351	0.670847	0.008618	0.0	0.0	0.121494	3.558299	0.155449	0.656191	0.050503	1.408119	15.448998	0.027517	0.403009	1.848271	0.158883	0.47494	1.045898	0.020329	16.591301	1.655006	0.599504	0.036153	7.092213	161.748986	23.850621	5.12945	3.143401	0.170828	6.76586	1.172464	1.80749	3.840931	0.155066	22.704774	3.61978	1.918368	0.775249	0.017707	0.027317	7.305	0.015009	0.0	0.0
