ID	K	P	C	O	F	G	S	BIOPROJECT	Group	completeness	contamination	strain_heterogeneity	length	N50	centrality
SRR8849261_bin.6	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A smithii	PRJNA530971	Healthy	100.0	0.0	0.0	1757377	56679	0.0
SRR17301512_bin.22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Porcipelethomonas	s__Porcipelethomonas sp900538575	PRJNA791492	PCOS	80.64	1.59	80.0	1978862	4651	0.0
SRR17301512_bin.5	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__	PRJNA791492	PCOS	90.07	3.61	50.0	1895020	12611	0.0
SRR17301513_bin.13	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Ligilactobacillus	s__Ligilactobacillus salivarius	PRJNA791492	PCOS	95.03	2.75	100.0	1786246	9782	0.0
SRR17301514_bin.10	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter hominis	PRJNA791492	PCOS	90.74	1.77	25.0	1898989	8066	0.0
SRR17301514_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900766145	PRJNA791492	PCOS	86.94	0.56	100.0	2227485	6110	0.0
SRR17301514_bin.15	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemania	s__Holdemania filiformis	PRJNA791492	PCOS	94.39	0.65	66.67	3297674	11329	0.9708289999999999
SRR17301514_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Egerieimonas_A	s__Egerieimonas_A faecigallinarum	PRJNA791492	PCOS	90.2	2.64	66.67	2755672	8754	0.0
SRR17301514_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium_B	s__Lachnoclostridium_B monacensis	PRJNA791492	PCOS	91.72	3.02	37.5	2497684	13426	0.0
SRR17301515_bin.12	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis_M	PRJNA791492	PCOS	85.45	1.85	69.23	1680988	7279	0.0
SRR17301515_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium sp900540455	PRJNA791492	PCOS	93.98	0.7	100.0	2061990	7517	0.0
SRR17301515_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Merdimonas	s__Merdimonas faecis	PRJNA791492	PCOS	88.05	2.63	33.33	2506748	12292	0.0
SRR17301515_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__	PRJNA791492	PCOS	89.81	1.75	12.5	1969848	8787	0.0
SRR17301516_bin.10	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis	PRJNA791492	PCOS	80.43	1.37	50.0	2187612	4985	0.0
SRR17301516_bin.20	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Nanosynbacteraceae	g__Nanosynbacter	s__Nanosynbacter sp021222645	PRJNA791492	PCOS	84.17	5.64	6.25	877431	4725	0.0
SRR17301516_bin.4	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Longicatena	s__Longicatena caecimuris	PRJNA791492	PCOS	91.75	3.54	66.67	2615172	6337	0.0
SRR17301516_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster asparagiformis	PRJNA791492	PCOS	81.05	1.9	0.0	4982858	8070	0.0
SRR17301517_bin.25	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella sp902405995	PRJNA791492	Healthy	93.43	1.21	50.0	2047911	10131	0.0
SRR17301517_bin.4	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Weissella	s__Weissella confusa	PRJNA791492	Healthy	99.26	1.31	75.0	2027002	14736	0.0
SRR17301517_bin.8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A faecis	PRJNA791492	Healthy	81.17	2.85	12.5	2379705	11004	0.97258
SRR17301518_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia	s__Blautia coccoides	PRJNA791492	Healthy	82.32	1.17	33.33	3632942	3987	0.971004
SRR17301518_bin.6	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium dentium	PRJNA791492	Healthy	88.05	1.48	71.43	2213912	5796	0.9820655
SRR17301519_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Monoglobales	f__Monoglobaceae	g__Monoglobus	s__Monoglobus pectinilyticus	PRJNA791492	Healthy	95.43	0.0	0.0	2469437	22964	0.0
SRR17301519_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Muricomes	s__Muricomes sp000509105	PRJNA791492	Healthy	82.07	1.21	14.29	4131260	11592	0.0
SRR17301519_bin.26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Frisingicoccus	s__Frisingicoccus caecimuris	PRJNA791492	Healthy	99.18	0.67	100.0	2306729	24117	0.0
SRR17301519_bin.27	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter sp900541505	PRJNA791492	Healthy	94.12	0.73	40.0	3030674	9498	0.0
SRR17301519_bin.38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Alitiscatomonas	s__Alitiscatomonas sp900541255	PRJNA791492	Healthy	97.94	0.0	0.0	3176023	29003	0.0
SRR17301519_bin.42	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_D	PRJNA791492	Healthy	95.69	0.17	100.0	2149019	18151	0.9816444285714285
SRR17301519_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium limosum	PRJNA791492	Healthy	95.77	0.0	0.0	3887267	23636	0.981193
SRR17301520_bin.15	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_J	PRJNA791492	Healthy	89.07	1.47	100.0	1891521	8115	0.0
SRR17301520_bin.2	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia massiliensis	PRJNA791492	Healthy	82.77	0.0	0.0	2272560	4427	0.9747675
SRR17301521_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia gabavorous	PRJNA791492	Healthy	96.08	0.0	0.0	2104989	8123	0.9856100000000001
SRR17301522_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A obeum	PRJNA791492	Healthy	88.67	0.06	0.0	2514225	20969	0.0
SRR17301522_bin.11	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__Dorea_A longicatena	PRJNA791492	Healthy	94.29	2.92	8.33	2190085	16737	0.983363
